id,eng,jp
1,a,1つの
2,about,～について
3,after,～の後で
4,afternoon,午後
5,ago,前
6,Alice,アリス
7,all,すべての
8,always,いつも
9,am,～ある、いる
10,an,一つの、ある
11,ancestor,祖先
12,and,～と
13,animal,動物
14,Ann,アン
15,answer,答える
16,any,どれでも
17,anything,何か
18,April,４月
19,are,～である、いる
20,arm,腕
21,around,～の周りに
22,art,美術，芸術
23,ask,たずねる，頼む
24,at,～で
25,ate,食べた
26,August,８月
27,aunt,おば
28,Australia,オーストラリア
29,autumn,秋
30,back,裏の，後ろの
31,bag,カバン
32,bagpipes,風笛
33,ball,ボール
34,baseball,野球
35,basketball,バスケットボール
36,bat,バット
37,bath,風呂
38,be,～である、いる
39,beautiful,美しい
40,because,なぜなら
41,bed,ベッド
42,before,～の前に
43,behind,…の背後に／背後に
44,bell,ベル
45,belt,ベルト
46,big,大きい
47,bike,自転車
48,bird,鳥
49,black,黒い
50,blog,ブログ
51,blossom,花
52,blue,青い
53,Bob,ボブ
54,body,身体
55,book,本
56,bookstore,書店
57,borrow,借りる
58,both,両方
59,bought,買った
60,boy,少年
61,breakfast,朝食
62,brother,兄弟
63,Brown,茶色の
64,brown,茶色の
65,brush,筆
66,bus,バス
67,but,しかし
68,by,～によって、～で
69,bye,さようなら
70,cake,ケーキ
71,calendar,カレンダー
72,came,来た
73,camera,カメラ
74,can,カン
75,Canberra,キャンベラ
76,cannot,～できない
77,cap,帽子
78,car,自動車
79,careful,注意深い
80,carry,運ぶ
81,case,場合，容器
82,cat,猫
83,catch,捕まえる，
84,CD,CDの
85,chair,いす
86,change,変わる
87,cherry,チェリー
88,cherry blossom,さくら
89,child,子供
90,China,中国
91,class,学級，授業
92,classmate,同級生
93,classroom,教室
94,clean,きれいな
95,clerk,店員
96,climb,登る
97,close,閉じる
98,clothes,服
99,club,クラブ
100,coin,硬貨
101,color,色
102,come,来る
103,computer,コンピュータ
104,cook,料理人
105,country,国，いなか，地方
106,course,進路
107,cousin,いとこ
108,cricket,クリケット
109,cry,泣く
110,culture,文化
111,curry,カレー
112,cute,可愛い
113,dance,おどる
114,daughter,娘
115,day,日
116,dear,親愛なる
117,December,１２月
118,dictionary,辞書
119,did,した
120,dinner,夕食
121,do,する
122,does,する
123,dog,犬
124,dollar,ドル
125,door,ドア
126,down,下に
127,draw,描く，引く
128,drew,描いた
129,drink,飲む
130,drive,運転する
131,drum,ドラム
132,ear,耳
133,easily,かんたんに
134,egg,卵
135,eight,8
136,eighteen,18
137,eighth,8番目の
138,eighty,80
139,elephant,象
140,eleven,11
141,eleventh,11番目の
142,else,そのほかに
143,e-mail (email),電子メール
144,Emma,エマ
145,Emma Simmons,エマ・シモンズ
146,enjoy,楽しむ
147,eraser,消しゴム
148,evening,晩
149,every,毎～
150,everyone,みんな
151,excuse,許す
152,eye,目
153,face,顔
154,fall,秋
155,family,家族
156,far,遠くに，はるかに
157,fast,速い
158,father,父
159,favorite,一番好きな，一番好きなもの
160,February,２月
161,feed,…に食べ物を与える，…を養う
162,feet,フィート
163,fell,倒す
164,festival,祭り
165,field,野原，競技場
166,fifteen,15
167,fifth,5番目の
168,fifty,50
169,fine,すばらしい，
170,fine arts,美術
171,finger,指
172,fire,火
173,first,1番目の
174,five,5
175,flower,花
176,flute,フルート
177,fly,飛行機で行く，飛ぶ
178,follow,…の後を追う
179,food,食べ物
180,foot,足
181,football,フットボール
182,for,～のために
183,forty,40
184,forward,前方へ
185,four,4
186,fourteen,14
187,fourth,4番目の
188,fox,キツネ
189,Friday,金曜日
190,friend,友人
191,from,～から
192,fun,楽しみ
193,get,得る，着く，乗る
194,girl,少女
195,glad,うれしい
196,go,行く
197,goal,得点，ゴール
198,good,良い
199,got,手に入れた
200,grandfather,祖父
201,grandmother,祖母
202,grape,ブドウ
203,gray,灰色
204,great,すばらしい，広大な
205,Green,緑の
206,green,緑の
207,ground,地面
208,group,グループ
209,guitar,ギター
210,gym,体育館
211,hair,髪
212,hamburger,ハンバーガー
213,hand,手
214,hard,いっしょうけんめい
215,has,もっている(三単現)
216,have,持っている
217,hawk,タカ
218,he,彼
219,head,頭，先頭
220,hear,聞く
221,hello,こんにちは
222,help,助ける
223,her,彼女の
224,here,ここに
