id,eng,jp
1,a.m.,午前中
2,across,渡る
3,action,行動
4,actor,俳優
5,actually,実際に，現実に
6,addition,付加，追加
7,adult,大人
8,afraid,恐れて
9,again,再び
10,agree,同意する，賛成する
11,air,空気
12,air pollution,空気汚染
13,Akira,アキラ
14,almost,ほとんど
15,aloha,アロハ
16,aloha shirt,アロハシャツ
17,also,もまた
18,amazing,びっくりするような
19,amusement,娯楽
20,amusement park,遊園地
21,angry,怒って
22,another,ほかの，もうひとつの
23,anytime,いつでも
24,arrive,到着する
25,as,～のように
26,astronaut,宇宙飛行士
27,away,離れて
28,baby,赤ん坊
29,bad,悪い
30,balance,バランス
31,bandanna,バンダナ
32,bathroom,浴室
33,beach,砂浜
34,became,になった
35,become,～になる
36,bedroom,寝室
37,believe,成長する，になる
38,best,一番良い
39,better,より良い
40,between,～と～の間
41,billion,10億
42,birthday,誕生日
43,bookcase,本棚
44,boomerang,ブーメラン
45,boring,退屈にする
46,born,生まれつきの
47,bother,悩ませる
48,break,壊れる，破る
49,bright,明るい
50,bring,持って来る
51,British,英国人
52,broke,壊れた
53,brought,持ってきた
54,build,建てる
55,built,建てられた
56,bury,埋める
57,busy,忙しい
58,buy,買う
59,call,電話をかける
60,Cambodia,カンボジア
61,card,カード
62,care,気にする
63,caught,捕えた
64,century,世紀
65,certainly,確かに
66,chamomile tea,カモミールティー
67,chance,機会
68,chart,表
69,check,点検する、会計
70,children,子供たち
71,choice,選択（肢）
72,choose,選ぶ
73,city,市，都会
74,clean energy,クリーンエネルギー
75,clear,片付ける、消去する
76,clock,置き時計
77,close,閉じる
78,cloud,雲
79,cloudy,曇った
80,coat,コート
81,cold,冷たい，寒い
82,comic,漫画
83,comic book,マンガ
84,common,共通の
85,communicate,意思を伝える，…を伝達する
86,concert,コンサート
87,conclusion,結論
88,continue,続ける
89,convenience,便利
90,convenience store,コンビニ
91,convenient,都合がよい
92,cool,涼しい
93,Cotton-tail,ワタオウサギ
94,could,～することができた
95,cup,カップ
96,cut,切る
97,dancer,ダンサー
98,danger,危険
99,date,日付
100,decide,決心する
101,deeply,深く
102,delicious,おいしい
103,dentist,歯医者
104,desk,机
105,die,死ぬ
106,different,違った
107,difficult,むずかしい
108,dining,ダイニング
109,dining room,食事部屋
110,direct,直接の
111,director,監督
112,doctor,医者
113,dolphin,イルカ
114,dream,夢
115,dress,着る
116,drugstore,薬局
117,during,～の間，～を通じて
118,each,おのおのの
119,earth,地球，大地
120,earthquake,地震
121,easy,やさしい，気楽に
122,eat,食べる
123,either,(もまた)～でない
124,empty,何も入っていない，空の
125,end,終わる
126,endangered animal,絶滅危惧種
127,energy,エネルギー
128,engineer,エンジニア
129,English,英語
130,enough,十分な
131,even,～さえ
132,event,出来事，行事
133,everything,すべて
134,exam,試験
135,example,例
136,excited,興奮した
137,exciting,興奮させる
138,expensive,値段が高い
139,explain,説明する
140,famous,有名な
141,farmer,農場主
142,fee,手数料
143,feel,感じる
144,feeling,感覚
145,few,(aをつけ)少数の
146,fight,戦う
147,film,映画
148,final,最後の
149,find,見つける，
150,fish,魚
151,flash,フラッシュ
152,floor,床，階
153,force,力／…を［に］強制する
154,forget,忘れる
155,forgot,忘れた
156,free,自由な，ひまな
157,fridge,冷蔵庫
158,front,前
159,fruit,果物
160,full,いっぱいの
161,future,未来
162,game,試合
163,garden,庭
164,gift,贈り物
165,give,与える，(会などを)開く
166,global,地球の，世界の
167,global warming,地球温温暖化
168,glove,グローブ
169,grow,増加する，育てる
170,had,持っていた
171,hall,玄関の広間，ろうか
172,hallway,玄関、ろうか
173,handout,くつろぐ
174,happen,起こる
175,happy,幸福な
176,Hawaii,ハワイ
177,health,健康
178,heavy,重い，大量の
179,held,開催した
180,heritage,遺産
181,history,歴史
182,hit,打つ
183,Hollywood,ハリウッド
184,hour,時間
185,however,しかし
186,hunting,狩り
187,hurry,急ぐ
188,hurt,傷つける
189,idea,考え
190,if,もし
191,image,画像
192,important,重要な
193,Indian,インド人
194,information,情報
195,ink,インク
196,interested,興味のある
197,Internet,インターネット
198,interpreter,通訳者
199,invite,招待する
200,island,島
